frame_start	frame_end	Dorsal-Raphe	Medial-Raphe	Pons
0	30	7.3353	2.80023	34.83074
30	60	3622.15564	3001.0819	3657.77899
60	90	19552.03889	13246.08805	15094.24814
90	120	29302.11152	23679.28807	30016.25609
120	150	51330.24123	32756.71697	44737.09235
150	180	57375.43047	40228.06954	49173.35905
180	240	57603.02274	44599.23693	51665.75598
240	300	59618.18304	44758.15471	51621.20625
300	360	59367.1624	45462.84756	49588.64587
360	480	55036.49053	40265.16845	45808.44079
480	600	50431.74458	36992.89	43566.49338
600	900	38759.04877	33065.445	36629.85883
900	1200	31165.16712	28035.18965	30393.63072
1200	1500	24823.56893	24060.35405	26924.38855
1500	1800	21512.01153	22164.73319	23169.88372
1800	2100	17371.5488	19357.09111	21061.1898
2100	2400	14663.38256	15498.95046	17795.63358
2400	2700	11127.00611	12987.78669	15871.93553
2700	3000	11426.98849	12315.73651	13959.21513
3000	3300	10343.03512	10878.54034	12673.4203
3300	3600	8499.51155	10332.55231	11637.62859
3600	3900	8476.54354	7674.36926	10630.13906
3900	4200	7685.11218	8416.59717	9949.1879
4200	4500	5708.55511	6809.55027	8769.16508
4500	4800	7329.76383	6485.63821	8505.31751
4800	5100	6992.21352	5092.54907	7460.60696
5100	5400	6178.52613	7326.52144	7370.66511
5400	5700	6782.96408	6645.50538	6560.74681
5700	6000	7773.19699	6283.64858	6701.89326
6000	6300	5319.95341	4244.3503	6714.54245
6300	6600	5358.79172	3289.5487	7638.73788
6600	6900	5766.05568	4347.33296	5570.08683
6900	7200	4575.91727	5075.92096	4752.27927
