index	name	volume-mm3
4	Left-Lateral-Ventricle	8824.0
5	Left-Inf-Lat-Vent	201.0
7	Left-Cerebellum-White-Matter	14777.0
8	Left-Cerebellum-Cortex	55394.0
10	Left-Thalamus	7387.0
11	Left-Caudate	3350.0
12	Left-Putamen	4415.0
13	Left-Pallidum	1982.0
14	3rd-Ventricle	669.0
15	4th-Ventricle	2182.0
16	Brain-Stem	21252.0
17	Left-Hippocampus	3806.0
18	Left-Amygdala	1787.0
24	CSF	920.0
26	Left-Accumbens-area	534.0
28	Left-VentralDC	4197.0
30	Left-vessel	23.0
31	Left-choroid-plexus	463.0
43	Right-Lateral-Ventricle	5716.0
44	Right-Inf-Lat-Vent	162.0
46	Right-Cerebellum-White-Matter	13633.0
47	Right-Cerebellum-Cortex	53391.0
49	Right-Thalamus	7217.0
50	Right-Caudate	3304.0
51	Right-Putamen	4478.0
52	Right-Pallidum	1950.0
53	Right-Hippocampus	4623.0
54	Right-Amygdala	1906.0
58	Right-Accumbens-area	601.0
60	Right-VentralDC	4405.0
62	Right-vessel	10.0
63	Right-choroid-plexus	382.0
85	Optic-Chiasm	62.0
251	CC_Posterior	1090.0
252	CC_Mid_Posterior	599.0
253	CC_Central	673.0
254	CC_Mid_Anterior	755.0
255	CC_Anterior	942.0
1001	ctx-lh-bankssts	2429.0
1002	ctx-lh-caudalanteriorcingulate	2216.0
1003	ctx-lh-caudalmiddlefrontal	6495.0
1005	ctx-lh-cuneus	2481.0
1006	ctx-lh-entorhinal	2293.0
1007	ctx-lh-fusiform	8776.0
1008	ctx-lh-inferiorparietal	11548.0
1009	ctx-lh-inferiortemporal	13252.0
1010	ctx-lh-isthmuscingulate	2114.0
1011	ctx-lh-lateraloccipital	12638.0
1012	ctx-lh-lateralorbitofrontal	7487.0
1013	ctx-lh-lingual	4713.0
1014	ctx-lh-medialorbitofrontal	5111.0
1015	ctx-lh-middletemporal	11684.0
1016	ctx-lh-parahippocampal	1906.0
1017	ctx-lh-paracentral	3213.0
1018	ctx-lh-parsopercularis	8596.0
1019	ctx-lh-parsorbitalis	2213.0
1020	ctx-lh-parstriangularis	4046.0
1021	ctx-lh-pericalcarine	1661.0
1022	ctx-lh-postcentral	7795.0
1023	ctx-lh-posteriorcingulate	2967.0
1024	ctx-lh-precentral	8663.0
1025	ctx-lh-precuneus	7758.0
1026	ctx-lh-rostralanteriorcingulate	3226.0
1027	ctx-lh-rostralmiddlefrontal	20069.0
1028	ctx-lh-superiorfrontal	24472.0
1029	ctx-lh-superiorparietal	8199.0
1030	ctx-lh-superiortemporal	13570.0
1031	ctx-lh-supramarginal	9976.0
1032	ctx-lh-frontalpole	1124.0
1033	ctx-lh-temporalpole	2633.0
1034	ctx-lh-transversetemporal	1566.0
1035	ctx-lh-insula	7086.0
2001	ctx-rh-bankssts	2070.0
2002	ctx-rh-caudalanteriorcingulate	1986.0
2003	ctx-rh-caudalmiddlefrontal	5608.0
2005	ctx-rh-cuneus	3357.0
2006	ctx-rh-entorhinal	1421.0
2007	ctx-rh-fusiform	8859.0
2008	ctx-rh-inferiorparietal	12749.0
2009	ctx-rh-inferiortemporal	11656.0
2010	ctx-rh-isthmuscingulate	2378.0
2011	ctx-rh-lateraloccipital	11652.0
2012	ctx-rh-lateralorbitofrontal	7675.0
2013	ctx-rh-lingual	6255.0
2014	ctx-rh-medialorbitofrontal	5699.0
2015	ctx-rh-middletemporal	13029.0
2016	ctx-rh-parahippocampal	1518.0
2017	ctx-rh-paracentral	3212.0
2018	ctx-rh-parsopercularis	4222.0
2019	ctx-rh-parsorbitalis	2709.0
2020	ctx-rh-parstriangularis	4799.0
2021	ctx-rh-pericalcarine	2376.0
2022	ctx-rh-postcentral	8120.0
2023	ctx-rh-posteriorcingulate	2899.0
2024	ctx-rh-precentral	14395.0
2025	ctx-rh-precuneus	9872.0
2026	ctx-rh-rostralanteriorcingulate	1960.0
2027	ctx-rh-rostralmiddlefrontal	15155.0
2028	ctx-rh-superiorfrontal	18834.0
2029	ctx-rh-superiorparietal	12358.0
2030	ctx-rh-superiortemporal	13493.0
2031	ctx-rh-supramarginal	11698.0
2032	ctx-rh-frontalpole	1267.0
2033	ctx-rh-temporalpole	1840.0
2034	ctx-rh-transversetemporal	927.0
2035	ctx-rh-insula	6420.0
3001	wm-lh-bankssts	2042.0
3002	wm-lh-caudalanteriorcingulate	3055.0
3003	wm-lh-caudalmiddlefrontal	7315.0
3005	wm-lh-cuneus	2163.0
3006	wm-lh-entorhinal	848.0
3007	wm-lh-fusiform	6961.0
3008	wm-lh-inferiorparietal	9515.0
3009	wm-lh-inferiortemporal	6882.0
3010	wm-lh-isthmuscingulate	3054.0
3011	wm-lh-lateraloccipital	9352.0
3012	wm-lh-lateralorbitofrontal	6682.0
3013	wm-lh-lingual	4222.0
3014	wm-lh-medialorbitofrontal	3964.0
3015	wm-lh-middletemporal	6556.0
3016	wm-lh-parahippocampal	1439.0
3017	wm-lh-paracentral	2373.0
3018	wm-lh-parsopercularis	5551.0
3019	wm-lh-parsorbitalis	907.0
3020	wm-lh-parstriangularis	3528.0
3021	wm-lh-pericalcarine	3005.0
3022	wm-lh-postcentral	5879.0
3023	wm-lh-posteriorcingulate	3483.0
3024	wm-lh-precentral	8092.0
3025	wm-lh-precuneus	7346.0
3026	wm-lh-rostralanteriorcingulate	2288.0
3027	wm-lh-rostralmiddlefrontal	17916.0
3028	wm-lh-superiorfrontal	21631.0
3029	wm-lh-superiorparietal	8172.0
3030	wm-lh-superiortemporal	7839.0
3031	wm-lh-supramarginal	6882.0
3032	wm-lh-frontalpole	317.0
3033	wm-lh-temporalpole	629.0
3034	wm-lh-transversetemporal	1020.0
3035	wm-lh-insula	10607.0
4001	wm-rh-bankssts	2501.0
4002	wm-rh-caudalanteriorcingulate	2591.0
4003	wm-rh-caudalmiddlefrontal	5379.0
4005	wm-rh-cuneus	2563.0
4006	wm-rh-entorhinal	547.0
4007	wm-rh-fusiform	6169.0
4008	wm-rh-inferiorparietal	10555.0
4009	wm-rh-inferiortemporal	6867.0
4010	wm-rh-isthmuscingulate	3081.0
4011	wm-rh-lateraloccipital	8312.0
4012	wm-rh-lateralorbitofrontal	7475.0
4013	wm-rh-lingual	4824.0
4014	wm-rh-medialorbitofrontal	4252.0
4015	wm-rh-middletemporal	6000.0
4016	wm-rh-parahippocampal	1309.0
4017	wm-rh-paracentral	3153.0
4018	wm-rh-parsopercularis	3563.0
4019	wm-rh-parsorbitalis	1155.0
4020	wm-rh-parstriangularis	4076.0
4021	wm-rh-pericalcarine	3390.0
4022	wm-rh-postcentral	6733.0
4023	wm-rh-posteriorcingulate	4243.0
4024	wm-rh-precentral	13211.0
4025	wm-rh-precuneus	10294.0
4026	wm-rh-rostralanteriorcingulate	1864.0
4027	wm-rh-rostralmiddlefrontal	11662.0
4028	wm-rh-superiorfrontal	15335.0
4029	wm-rh-superiorparietal	10353.0
4030	wm-rh-superiortemporal	7025.0
4031	wm-rh-supramarginal	9419.0
4032	wm-rh-frontalpole	399.0
4033	wm-rh-temporalpole	524.0
4034	wm-rh-transversetemporal	655.0
4035	wm-rh-insula	9480.0
5001	Left-UnsegmentedWhiteMatter	31619.0
5002	Right-UnsegmentedWhiteMatter	30219.0
